id,name,category,neighborhood,tagline,origin_story,owner_name,heritage,photo,website,instagram,date_supported,featured,interview_url,interview_caption
zen-garden-aromas,Zen Garden Aromas,Home Goods,"Rockville, MD",Asian-inspired fragrances for everyday serenity.,"Zen Garden Aromas is a family-owned, AAPI-owned business founded in Rockville, Maryland, by Melody and Dennis, a Taiwanese-American husband-and-wife team. 

Originally from San Jose, California, Melody is a physician trained in Internal Medicine and Rheumatology, now practicing in Maryland. After more than a decade of rigorous medical training, her days were filled with long shifts, constant handwashing, and rushing home to care for the family.

In search of a creative outlet beyond medicine, she longed for a way to cultivate new passions while finding moments of peace amid the chaos of daily life while raising two young children. Drawing on her Taiwanese heritage and her upbringing in an immigrant household, Melody longed to preserve and pass down her cultural traditions to the next generation. She envisioned a line of Asian-inspired foaming hand soaps that would blend cultural tradition with everyday self-care. Meanwhile, Dennis—whose background spans culinary arts, photography, business administration, and the mortgage industry—recognized the potential in her vision and lack of authentic Asian cultural representation in the U.S. body care market. Thus, Zen Garden Aromas was launched in April 2025 from their shared desire to honor the beauty and richness of the Asian-American experience.

While “Asian” is by no means a singular identity—encompassing countless languages, traditions, and histories—Zen Garden Aromas strives to handcraft innovative, authentic self-care products that provide tranquility, bring communities together, and offer meaningful sensory and cultural experiences regardless of background.
",Melody & Dennis,Taiwanese ,zen garden.png,https://www.zengardenaromas.com/,@zengardenaromas,,yes,,
nguyen-coffee-supply,Nguyen Coffee Supply,Food & Beverage,"New York, NY",A mission to enjoy Vietnamese coffee,"1st Gen, Vietnamese-american Woman Owned. Nguyen Coffee Supply was founded by Sahra Nguyen, a 1st generation Vietnamese American and a quintessential Millennial of the “Slash Generation”. Her multifaceted creative career includes being the award-winning documentary filmmaker behind NBC News’ “Deported”, a former restaurant owner and a 2018 Google Next Gen Leader. Nguyen is the daughter of Vietnamese refugees, who fled their country by boat after the Vietnam War, and eventually settled in Boston, MA, where she was born and raised.",Sahra,Vietnamese,Espresso_Ground_Coffee_Nguyen_Coffee_Supply_Lifestyle_View_006_15ae3745-2ff4-4177-8eb0-74c197017079.webp,https://nguyencoffeesupply.com/,,,,,
love-letter-bakery,Love Letter Bakery,Food & Beverage,"New York, NY",,"Growing up, I was always in a kitchen. I was either in the restaurant my parents ran or at home with my mom, cooking and baking.

My parents immigrated from Malaysia to New York about 36 years ago, and around Lunar New Year my mom and I would spend hours making kuih kapit which is a delicate Malaysian cookie which translates to “love letter crepes” to gift to people we cared about.

Love Letter Bakeri is my way of paying homage to my parents for to the hard work and love they built our lives on. And it’s also a love letter to the people around me.

I love learning what people’s favorite desserts are! Tell me yours, and I’ll probably try my hand at making it.

Love,
 Kathleen",Kathleen,Malaysian,LoveLetter.webp,https://loveletterbakeri.com/,,,,https://www.youtube.com/watch?v=XL8KI2ftOwM,
,Sanzo,Food & Beverage,"New York, NY",Authentic Asian flavors made with real fruit,"At Sanzo, we believe in the power of flavor to connect cultures and generations. Founded with a passion for celebrating the rich heritage of Asian flavors, our drinks bring vibrant Asian fruit flavors to modern palates—without the excess sugar. Inspired by our founder, Filipino-American Sandro Roco, and his desire to bridge cultures, Sanzo started with a simple mission: to highlight bold unique Asian flavors he loved growing up.",Sandro,Filipino,Sanzo.webp,https://drinksanzo.com/,,,,,
,Confusion Snacks,Food & Beverage,"Los Angeles, CA",Big flavor simply made,"“As a kid of the South Asian diaspora, I wanted a snack that felt like me, not 100% American, not 100% Indian, but somewhere in the middle. That fusion market didn’t exist, so we’re here to build it, one bite at a time.”
- Aadit, Founder
👋🏼 Hi, I’m Aadit! I’m a kid of the Indian diaspora and I grew up confused.

​Growing up, I lived at the intersection of two worlds, learning how to carry forward my Indian roots while adapting to American culture. What began as confusion between my Indian and American identities eventually blossomed into a unique fusion of the two cultures. Whether it’s accenting my western-influenced palette with traditional Indian spices or shuffling between Bollywood music and American pop, I found ways to preserve an authentic connection to my immigrant roots while embracing the cultural influences of growing up in America.

As I continue to embrace that fusion, I’m excited to share it with you through products inspired by my Indian-American identity. Whether they spark a memory of home or help you discover something new, I’m excited to share them in the most authentic way I know, with a pinch of confusion!",Aadit,Indian,VarietyPack-1.webp,https://confusionsnacks.com/,,,,,
,Oodaalolly,Food & Beverage,"Richmond, CA",Award-winning chocolate,"Hernan Lauber | Founder + Chief Chocolate Maker

Hernan Lauber is a sixth-generation Swiss chocolate maker with deep Filipino roots, bridging two rich culinary heritages in his approach to chocolate making. Growing up surrounded by Switzerland’s celebrated chocolate traditions that he learned from his father, Hernan carries forward his family’s legacy while infusing it with the vibrant flavors of his Filipino heritage. His unique perspective brings together the precision of Swiss craftsmanship with the bold, tropical tastes of the Philippines, creating chocolates that are both classic and adventurous. With a commitment to quality and innovation, Hernan’s work celebrates a fusion of cultures, redefining what fine chocolate can be.",Hernan,Filipino,Oodaalolly.webp,https://oodaalolly.com/,,,,https://www.youtube.com/watch?v=BbB_xGhTrvk,
,Bombay Eats,Food & Beverage,"Chicago, IL",Fresh. Indian. Fast,"When the wife & husband team, Falguni and Ali Dewjee, opened Bombay Wraps in 2010, they had one simple mission – to share with you the delicious, easy, and affordable street food they grew up eating in Bombay (Mumbai), India. Today this mission continues to burn bright, across 4 retail outlets and a food truck, as Bombay Eats (new brand name) is committed to serving you Fresh, Indian Food, Fast in a modern, casual and fun environment.

The food philosophy continues to be focused around taking complex flavors, rich aromas, abundant variety, & delicious slow-cooked recipes – and making it easy and accessible for all of Chicago to enjoy by serving it in Wraps (Paratha or Whole Wheat Roti), Sandwich Rolls (Buttered & Toasted) and Bowls (Basmati Rice or Fresh Cut Salad). Our food is flexible and created to meet your mood be it in our restaurants, at your office, at a social gathering or in the comfort of your home. ",Falguni and Ali,Indian,6318Family_Shot_Lite.png,https://www.bombayeats.com/,,,,,
,Yutori,Food & Beverage,"Palo Alto, CA","We invite you to slow down, gather, and savor the moment.","In Japanese, yutori (ゆとり) means “space.”
Space to breathe.
Space to slow down.
Space to be present.

It’s a way of moving through the world with intention — one we hope to share with you.
Yutori is a restaurant, café, konbini, and gathering space.
A place where food, art, design, and community come together.",Jerome,Japanese,YUTORI.png,https://www.yutori-pa.com/,,,,https://www.youtube.com/watch?v=idsGWuFgBOg,
,Boba Tribe,Food & Beverage,"Bay Area, CA",(WikiTrivia prize),"Hello Bubblers!

Our heartfelt gratitude for getting to know us better and welcome to the Boba Tribe.  

The founder of Boba Tribe was born in Taiwan and grew up in Australia. The current Boba Tribe team is a Bay Area Family that loves all things Boba. From its delicious gummy texture, its variety of customizable options, its mouthwatering colors and photo ops, to its ability to connect people world wide, Boba is a way of life. Boba Tribe is our way of paying homage to this iconic beverage. 

We are about Boba! Our Boba Tribe goal is to design unique Boba tea (Bubble tea) inspired Gifts and Merchandises that recreate the same joyous and happy feelings experienced when drinking Boba tea. Through our brand, we want to further help grow and connect the community of people who share the same love and passion for Boba tea.

We are about sustainability TEA! Sustainable Boba tastes and feels better. As the Boba love grows we hope to do our part by promoting more sustainable Boba drinking, thus eliminating the use of single use plastic one straw at a time. It may not save the world however every big journey starts with one small step.   

Seeing Boba Tea being enjoyed by people from all walks of life, cultures, ethnicity, ages and genders makes us feel proud of the Asian heritage. If you love our brand and our products, please help us share it with your friends and family and help grow the Boba Tribe. 

Thank you for visiting our store and may you have a Bobalicious day!

Much love from the Boba Tribe Family",,Taiwanese ,boba tribe.webp,https://www.bobatribe.com,,,,,
,Dream Design Doodle,Art,"San Francisco, CA",(WikiTrivia prize),"Millie Kwong is a San Francisco–based artist and designer whose work captures the quiet beauty of everyday life through watercolor. Influenced by her background in interior design and a lifelong connection to the city, Millie’s art celebrates the textures, stories, and community spirit that make San Francisco so unique.

​

Her watercolor collection, Dream Design Doodle, began as a personal sketching practice and has since grown into a thoughtful line of postcards, greeting cards, and prints found in local shops and art fairs. Each piece reflects a balance of simplicity and California warmth, blending minimal design with heartfelt storytelling.

​

Through her art, Millie hopes to inspire connection — between people, places, and the moments that make everyday life meaningful. When she’s not painting in her studio, you’ll find her exploring local cafes, creating alongside her daughter, or tending to her growing collection of paper goods and watercolor projects.",Millie,Chinese,dream design.png,https://www.dreamdesigndoodle.com/,,,,,
